"GEOID","FULL_CENSUS_TRACT_NAME","latino_population","white_population","total_population","latino_percentage","white_percentage","neighborhood_type"
"06001405100","Census Tract 4051; Alameda County; California",305,2986,4508,6.76574977817214,66.2377994676131,"Other"
"06001405200","Census Tract 4052; Alameda County; California",305,1670,4913,6.20801953999593,33.991451251781,"Other"
"06001405301","Census Tract 4053.01; Alameda County; California",480,1394,2872,16.7130919220056,48.5376044568245,"Other"
"06001405302","Census Tract 4053.02; Alameda County; California",159,876,2559,6.21336459554514,34.232121922626,"Other"
"06001405401","Census Tract 4054.01; Alameda County; California",834,894,3541,23.5526687376447,25.2471053374753,"Other"
"06001405402","Census Tract 4054.02; Alameda County; California",862,746,3673,23.4685543152736,20.3103729921045,"Other"
"06001405500","Census Tract 4055; Alameda County; California",520,756,3537,14.7017246253887,21.3740458015267,"Other"
"06001405600","Census Tract 4056; Alameda County; California",677,941,3044,22.2404730617608,30.9132720105125,"Other"
"06001405700","Census Tract 4057; Alameda County; California",876,530,3522,24.8722316865417,15.0482680295287,"Other"
"06001405800","Census Tract 4058; Alameda County; California",864,494,4182,20.6599713055954,11.8125298900048,"Other"
"06001405901","Census Tract 4059.01; Alameda County; California",1266,189,3757,33.6970987490019,5.03060952887942,"Other"
"06001405902","Census Tract 4059.02; Alameda County; California",916,389,3138,29.1905672402804,12.3964308476737,"Other"
"06001406000","Census Tract 4060; Alameda County; California",963,830,4735,20.337909186906,17.5290390707497,"Other"
"06001406100","Census Tract 4061; Alameda County; California",2345,897,4939,47.4792468110954,18.1615711682527,"Other"
"06001406201","Census Tract 4062.01; Alameda County; California",2455,284,5072,48.4029968454259,5.5993690851735,"Other"
"06001406202","Census Tract 4062.02; Alameda County; California",2955,316,4733,62.4339742235369,6.67652651595183,"Other"
"06001406300","Census Tract 4063; Alameda County; California",1590,482,4556,34.8990342405619,10.5794556628622,"Other"
"06001406400","Census Tract 4064; Alameda County; California",816,609,2598,31.4087759815243,23.4411085450346,"Other"
"06001406500","Census Tract 4065; Alameda County; California",3183,777,6494,49.0144748999076,11.9648906683092,"Other"
"06001406601","Census Tract 4066.01; Alameda County; California",1069,1034,4531,23.5930258221143,22.8205694107261,"Other"
"06001406602","Census Tract 4066.02; Alameda County; California",866,344,2540,34.0944881889764,13.5433070866142,"Other"
"06001406700","Census Tract 4067; Alameda County; California",919,2465,5380,17.0817843866171,45.817843866171,"Other"
"06001406800","Census Tract 4068; Alameda County; California",965,1127,3971,24.301183580962,28.3807605137245,"Other"
"06001406900","Census Tract 4069; Alameda County; California",323,1533,3865,8.35705045278137,39.6636481241915,"Other"
"06001407000","Census Tract 4070; Alameda County; California",2257,1135,6202,36.3914866172203,18.3005482102548,"Other"
"06001407101","Census Tract 4071.01; Alameda County; California",1640,471,4053,40.4638539353565,11.6210214655811,"Other"
"06001407102","Census Tract 4071.02; Alameda County; California",1591,320,4268,37.2774133083411,7.49765698219306,"Other"
"06001407200","Census Tract 4072; Alameda County; California",4626,920,6544,70.6907090464548,14.0586797066015,"Latino Neighborhood"
"06001407300","Census Tract 4073; Alameda County; California",1604,268,2459,65.2297681984547,10.8987393249288,"Other"
"06001407400","Census Tract 4074; Alameda County; California",1882,253,4242,44.3658651579444,5.96416784535596,"Other"
"06001407500","Census Tract 4075; Alameda County; California",1912,280,3988,47.9438314944835,7.02106318956871,"Other"
"06001407600","Census Tract 4076; Alameda County; California",2189,1637,6459,33.8906951540486,25.3444805697476,"Other"
"06001407700","Census Tract 4077; Alameda County; California",769,1896,4238,18.1453515809344,44.7380840018877,"Other"
"06001407800","Census Tract 4078; Alameda County; California",671,989,2769,24.2325749368003,35.7168652943301,"Other"
"06001407900","Census Tract 4079; Alameda County; California",396,1530,3088,12.8238341968912,49.5466321243523,"Other"
"06001408000","Census Tract 4080; Alameda County; California",326,1736,2860,11.3986013986014,60.6993006993007,"Other"
"06001408100","Census Tract 4081; Alameda County; California",539,2731,7313,7.37043620948995,37.3444550799945,"Other"
"06001408200","Census Tract 4082; Alameda County; California",1300,752,4471,29.0762692909864,16.819503466786,"Other"
"06001408300","Census Tract 4083; Alameda County; California",1007,1046,4791,21.0185764975997,21.8326027969109,"Other"
"06001408400","Census Tract 4084; Alameda County; California",1922,181,4077,47.1425067451558,4.43953887662497,"Other"
